metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: partID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
Add_210_addition_1,manuscript_56,,Add_210,,manuscript,,Add_210,"Folios 1a-5b, and 6b-8a, originally blank, are inscribed with various notes on religious duties, the taking od auguries, etc.",1a-5b; 6b-8a,1a 6b,5b 8a,,,,,,,,,,,,,,
Add_212_addition_1,manuscript_58,,Add_212,,manuscript,,Add_212,A chronogram in f. 74a gives the date of composition of the work: A.H. 1048 / A.D. 1638-39.,f. 74a,74a,74a,,,,,,,,,,,,,,
Add_215_addition_1,manuscript_61,,Add_215,,manuscript,,Add_215,"To f. 24 is affixed Awrangzīb's book-plate, bearing the date A. H. 1081.",f. 24,24a,24a,,,,,,,,,,,,,,
Add_252_addition_1,manuscript_92,,Add_252,,manuscript,,Add_252,A note in Persian pasted on to f. 68 suggest that this manuscript was offeref to Rev. George Lewis as a present by some Indian Muslim.,f. 68,68b,68b,,,,,,,,,,,,,,
Add_2628_addition_1,manuscript_102,,Add_2628,,manuscript,,Add_2628,An English translation of the history of Abraham and the old fire-worshipper and some emmendations of the text are prefixed to the manuscript,,,,,,,,,,,,,,,,,
Add_2998_addition_1,manuscript_117,,Add_2998,,manuscript,,Add_2998,Two separate chronograms on f. 149b and f. 163b date of the completion of this edition of the letters in A.H. 1223 / 1817-18 .,f. 149b; f. 163b,149b 163b,149b 163b,,,,,,,,,,,,,,
Add_3154_addition_1,manuscript_138,,Add_3154,,manuscript,,Add_3154,"On f. 249, this manuscript bears the name of Captain William Hays, of the Honorable Company's Artillery in Bengal 1764 .",f. 249,249b,249b,,,,,,,,,,,,,,
Add_3486_addition_1,manuscript_163,,Add_3486,,manuscript,,Add_3486,The lexicon ends with a calendar of the years 941-967 A.H 1534-1559 A.D.,,,,,,,,,,,,,,,,,
Add_409_addition_1,manuscript_314,,Add_409,,manuscript,,Add_409,An unfinished portrait of the Nawwāb Majd al-Dawlah ʻAbd al-Aḥad Khān is attached so as to face f. 1a.,f. 1a,1a,1a,,,,,,,,,,,,,,
Add_410_addition_1,manuscript_315,,Add_410,,manuscript,,Add_410,Composed in 1046 as shown in the chronogram at the end 761b which runs: از پی تاريخش بی قال و قيل گفت خرد منتخب بی بديل,761b,761b,761b,,,,,,,,,,,,,,
Add_415_addition_1,manuscript_320,,Add_415,,manuscript,,Add_415,The date of composition is given by a chronogram on f. 2a: A.H. 1140 / A.D. 1727-28 .,f. 2a,2a,2a,,,,,,,,,,,,,,
Add_811_addition_1,manuscript_362,,Add_811,,manuscript,,Add_811,Compiled in 1046 as shown in chronogram.,,,,,,,,,,,,,,,,,
Add_832_addition_1,manuscript_375,,Add_832,,manuscript,,Add_832,In the margins of most of the pages are notes and comments written in red.,,,,,,,,,,,,,,,,,
CODRINGTON.READE_NO_4_1_BOX_3_addition_1,manuscript_463,,CODRINGTON.READE_NO_4_1_BOX_3,,manuscript,,CODRINGTON.READE_NO_4_1_BOX_3,"marginalia English descriptive notes on front flyleaf, recto.",front flyleaf,,,,,,,,,,,,,,,,
CODRINGTON.READE_NO_7_BOX_4_addition_1,manuscript_508,,CODRINGTON.READE_NO_7_BOX_4,,manuscript,,CODRINGTON.READE_NO_7_BOX_4,"marginalia Inside front cover and flyleaf, recto: English notes giving description, numbers etc. marginalia Persian/Arabic notes, seemingly by original scribe, Ḥafīẓ Allāh , whose name occurs in one of them.حفيظ الله addition A verse attributed to Ḥāfiẓ details of copying The work is incomplete.","front cover and flyleaf, recto",,,,,,,,,,,,,,,,
Dd_12_7_addition_1,manuscript_554,,Dd_12_7,,manuscript,,Dd_12_7,"F. 2 bears the seal of a former owner, ʻAbd al-Wahhāb Muḥammad.",F. 2,2b,2b,,,,,,,ʻAbd al-Wahhāb Muḥammad,person_f6209,,,,,,
Dd_4_32_addition_1,manuscript_557,,Dd_4_32,,manuscript,,Dd_4_32,On the inside of the cover is parted a book-plate bearing the effigy of George I and the inscription Munificentia Regia.,,,,,,,,,,,,,,,,,
Dd_6_50-51_addition_1,manuscript_564,,Dd_6_50-51,,manuscript,,Dd_6_50-51,"On f. 121b is inscribed an itinerary of one of the pilgrim-routes to Mecca, with notes on the water at each stage.",f. 121b,121b,121b,,,,,,,,,,,,,,
F_4_addition_1,manuscript_609,,F_4,,manuscript,,F_4,f. 59a Inscribed circle entitled Dāʼirat al-ʻaql or دائرة العقل Kaffat al-ḥasanāt كفة الحسنات f. 60a Inscribed circle entitled Dāʼirat al-ʻjahl ( or دائرة الجهل)Kaffat al-sayyiʼāt ( كفة السيئات),f. 59a; f. 60a,59a 60a,59a 60a,,,,,,,,,,,,Dāʼirat al-ʻaql دائرة العقل ; Kaffat al-ḥasanāt كفة الحسنات ; Dāʼirat al-ʻjahl (دائرة الجهل); Kaffat al-sayyiʼāt (كفة السيئات),,
Gg_5_32_addition_1,manuscript_680,,Gg_5_32,,manuscript,,Gg_5_32,Some various readings and glosses are given in the margin in the first half of the work.,,,,,,,,,,,,,,,,,
Gg_6_32_addition_1,manuscript_682,,Gg_6_32,,manuscript,,Gg_6_32,On f. 91b are inscribed 11 verses of Turkis poetry.,f. 91b,91b,91b,,,,,,,,,,,,,,
I_6_addition_1,manuscript_714,,I_6,,manuscript,,I_6,"ff. 1b-2a The manuscript contains a number of quatrains in the Māzandarānī dialect apparently composed and certainly transcribed by Hidāyat, Riz̤ā Qulī Khān, 1800 or 1801-1871 or 2 (.هدايت، رضا قلي خان)",ff. 1b-2a,1b,2a,,,,,,,,,,,,,,
Ll_6_13_addition_1,manuscript_761,,Ll_6_13,,manuscript,,Ll_6_13,The margins of ff. 1-8 are filled with notes in Turkish,ff. 1-8,1.0,8.0,,,,,,,,,,,,,,
MS_Arab_d_138_addition_1,manuscript_788,,MS_Arab_d_138,,manuscript,,MS_Arab_d_138,"Marginalia: There are scattered marginalia, mostly written in the same hands as annotated many of the illustrations. The fifth book (maqālah) also has a separate numbering of the individual leaves written in red ink in the upper left corner. On Folio 1a there are later pious statements and invocations written near the illuminated roundel. Catchwords: There are no catchwords.",,,,,,,,,,,,,,,,,
MS_Bodl_Or_231_addition_1,manuscript_869,,MS_Bodl_Or_231,,manuscript,,MS_Bodl_Or_231,"Paper The brown paper of the core of the volume (folios 2–126) is very slightly coarse and often quite smooth, with a matt surface and thickness of 0.14−0.24 mm. It has an opaqueness factor of 4 and is slightly fibrous, with laid lines so indistinct that on most folios they appear only as light horizontal streaking; on some folios there are traces of irregular chain lines, with some appearing to be in groups of 3s. The beige-ivory paper of replacement folio 1 appears to be different from the rest of the volume (with no visible laid or chain lines), but is not identical to that of folio 127 (also a replacement leaf), which is a watermarked paper. The paper of folios 128–33 differs from the rest of the volume, with clear laid lines, single chain lines, and watermarks (pedestal).",,,,,,,,,,,,,,,,,
MS_Huntington_359_addition_1,manuscript_1002,,MS_Huntington_359,,manuscript,,MS_Huntington_359,"Paper The smooth, glossy, cream-beige paper has a thickness of 0.07–0.14 mm and an opaqueness factor of 8. It is unevenly fibrous, with vertical laid lines, single chain lines, and watermarks. The edges of the paper have been trimmed from their original size. Folio 131 is a different paper.",,,,,,,,,,,,,,,,,
MS_Huntington_359_addition_2,manuscript_1002,,MS_Huntington_359,,manuscript,,MS_Huntington_359,Marginalia The copy has been collated with the exemplar. The copyist has entered many corrections in the margins (frequently marked with ص).,,,,,,,,,,,,,,,,,
MS_Huntington_427_addition_1,manuscript_1008,,MS_Huntington_427,,manuscript,,MS_Huntington_427,"Paper The smooth, slightly glossy beige-biscuit paper has a thickness of 0.11−0.16 mm and an opaqueness factor of 4. It has vertical curved laid lines and no visible chain lines. The front endpapers (folios i–viii) are papers watermarked with three crescent moons. See individual entries for the paper of items 7 to 9 in this volume.",,,,,,,,,,,,,,,,,
MS_Marsh_537_addition_1,manuscript_1131,,MS_Marsh_537,,manuscript,,MS_Marsh_537,"Paper The lightly glossed, sometimes matt, beige paper has a thickness of 2.1−2.5 mm and an opaqueness factor of 4. It is slightly fibrous, with rather indistinct, vertical, slightly sagging, laid lines and no chain lines (although on some folios there are traces of indistinct, irregular chain lines).",,,,,,,,,,,,,,,,,
MS_Pococke_294_addition_1,manuscript_1493,,MS_Pococke_294,,manuscript,,MS_Pococke_294,"Marginalia The copy has been collated. At the bottom of folio 199b, alongside the colophon, in a hand slightly later than the copyist’s (using a brown ink) someone has written that it was collated from the beginning up to that point. Quires of ten leaves are numbered with Coptic numerals as well as Arabic numerals. Paper The smooth, semi-glossy beige paper has a thickness of 0.12–0.16 mm and an opaqueness factor of 5 to 6. It has horizontal laid lines and chain lines in groups of 3s.",,,,,,,,,,,,,,,,,
