metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit
Uk_Delhi_Persian_1420_binding_1,manuscript_3195,,Uk_Delhi_Persian_1420,,"Half-leather 20th century India Office red binding with a partially preserved earlier leather binding bound in (f. 1Ar), preserving blind tooled central medallion and pendants.",,,,,1910,1940,,,,,,,,,,,,
Uk_Delhi_Persian_44_binding_1,manuscript_3233,,Uk_Delhi_Persian_44,,,,19th-century plain leather binding with patterned paper pastedowns on a red ground.,,,1800,1876,,,,,,,,,,,,
Uk_IO_Islamic_3540_binding_1,manuscript_3561,,Uk_IO_Islamic_3540,,,,Red mid-twentieth century leather India Office Library binding.,,,1950,1970,,,,,,,,,,,,
Persian_MS_10_binding_1,manuscript_6575,,Persian_MS_10,,"Probably rebound for former owner Nathaniel Bland, as the volume matches another album that her formerly owned (Indian Drawings 13), also ex-Polier, but obtained from another, as-yet unidentified source.; Sewn on five recessed cords. Case-bound, hollow-backed, covered in full, black levant-grained goatskin leather over pasteboards with light blue silk lining the board interiors. Earlier flyleaves of medium-weight, cross-grained, ivory-coloured, externally sized and polished paper probably handmade in Awadh, with heavily flocked, machine-made blue paper flyleaves added to the volume when restored.; 351 271 64","Handle binding with caution. In poor condition, with the left board separating, bumped corners, and boards badly warped. Folios 8b–9a adhered together in the gutter margins when rebound, restricting the opening.",,,,1775,1838,,,351.0,351.0,351.0,271.0,271.0,271.0,64.0,64.0,64.0,mm
Persian_MS_101_binding_1,manuscript_6577,,Persian_MS_101,,"Unsupported sewing at two stations, with evidence of prior oversewing in the gutters. Twined chevron endbands at head and tail worked in red and white silkthreads. Rebound in a tight-backed, in full maroon goatskin leather over pasteboards using two-pieces of leather that overlap on the spine, which bears five false bands.; 238 134 50","Handle with care. In poor condition. Boards cupped and yawning. Exterior onlays abraded, with several missing on the left board. Textblock split between folios 8b to 9a and 124b to 125a.","Boards decorated with thin leather onlays of scalloped central mandorlas, detached finials, and corners with floral scrollwork designs blocked in silver, now tarnished. Onlays outlined with a single line, embellished with radiating lines and decorative flourishes in white. Board perimeters ruled with both a wide line and with double lines on either side, with perpendicular radiating lines, also in white.",,,1750,1830,,,238.0,238.0,238.0,134.0,134.0,134.0,50.0,50.0,50.0,mm
Persian_MS_106_binding_1,manuscript_6582,,Persian_MS_106,,"Bound in a British-Indian hydrid style. Sewn at two stations on cord supports, adhered to the inside of the boards. Edges trimmed, with twined chevron endbands in red and white silk at head and tail. Covered in full maroon goatskin leather, tight backed, with squares at the edges and defined joints, but without a flap (Type III binding per Déroche). Subsequently restored with European laid endpapers and the spine rebacked in medium brown goatskin leather, with headcaps at head and tail.; 220 122 20","Binding in fair condition, with abrasion to the spine and headcaps and bumped upper corners, with areas of the gilt edge blocked in the gutter margins.","Boards decorated with blocked paper onlays (possibly white or abraded pale blue) central mandorlas, detached pendants, and corners, all outlined and connected by single lines and interstitial flourishes bounded by radiating darts all in white. Boards margins ruled with a wide white line with comparatively thin double lines on either side, with the inner line connecting the corners.",,,1750,1825,,,220.0,220.0,220.0,122.0,122.0,122.0,20.0,20.0,20.0,mm
Persian_MS_109_binding_1,manuscript_6585,,Persian_MS_109,,"Sewn at two stations, edges trimmed, with twined chevron endbands in green and red silk threads. Rebound in full, tightbacked polished dark brownish-red goatskin leather over pasteboards, without a flap (Type III binding per Déroche). Internal goatskin leather doublures, with the excess width put down as hinges on the flyleaves, over which the binder adhered serrated, zig-zag cut paper strips. Spine later rebacked in red calfskin leather applied over the original boards, with repairs in the same leather applied along the edges of the left board.; 245 165 44",,"Boards margins double-ruled in yellow. Spine panels blind paletted quatrefoils with dotted zig-zags on either side, with central lyre motifs (the same used on ), and titled Persian MS 285AMIR KHUSRU with handle letters in gold.",,,1700,1800,,,245.0,245.0,245.0,165.0,165.0,165.0,44.0,44.0,44.0,mm
Persian_MS_12_binding_1,manuscript_6597,,Persian_MS_12,,"Unsupported sewing at two stations with blue silk, with twined chevron endbands sewn in turquoise and bright green silk threads. Two-piece covering in straight-grained dark red goatskin leather that overlaps on the spine, without a flap (type III binding per Déroche). Interior doublures lined with goatsin leather. Later repairs to the headcaps and corners in a bright red goatskin leather, now faded to light brown on the exterior. Later endpapers of European wove paper added when restored.; 297 208 12","Handle with care. In fair condition. The binding separates from the textblock, with sewing broken between folios 120–36 and 161–66, and break in the textblock between folios 192—93. The doublures are very worn and delicate.","Boards decorated with inlaid, recessed gilt central medallions featuring a Mughal-style poppy design and detached pendants bearing tulips. Ruled lines connect the decoration, with added raidiating lines in gold, now worn. The boards double-ruled in gold and a chain along the perimeters. Blind fillets lines added to the headcap repairs to blend in with the original tooling. The spine lettering HUDDEEKA HUKEEM SUNNAIE in handle letters directly over both the headcap repair and original spine. The doublures feature finely cut gilt leather filigree over inlaid cartouches of orange and plue pigments and roundels of green silk, recessed within a black pebble-grained leather, possibly shagreen. Maroon goatskin leather hinges added to reattach the book.",,,1600,1800,,,297.0,297.0,297.0,208.0,208.0,208.0,12.0,12.0,12.0,mm
Persian_MS_127_binding_1,manuscript_6605,,Persian_MS_127,,"Probably contemporary binding from the Indian subcontinent.; Endpapers of comparatively rough, straw-coloured paper added at the beginning and end. Sewn at two unsupported stations. Edges roughly trimmed, head coloured black, with chevron endbands twined in yellow and red threads at head and tail, now deteriorated. Covered in two pieces of full artificially embossed, greenish-brown straight-grained 'morrocco sheepskin leather over pasteboards, which overlap upon the spine. ; 279 186 35","Handle binding with caution. In poor condition, with extensive exterior abrasion, grain layer peeling, insect damage on the spine, cracked joints, head and tail caps and endband deteriorated, and sewing broken in several places.","Boards decorated with recessed scalloped central mandorlas, detached pendants, and cornerpieces featuring floriate designs blocked in silver leaf. Criss-crossed single silver lines connect the central decoration, with double lines connecting the cornerpieces, and the outer margins ruled again in the same. Spine subsequently titled YUSUF ZULAIKHA - JAMI in gold, the same as and Persian MS 7079.",,,1700,1838,,,279.0,279.0,279.0,186.0,186.0,186.0,35.0,35.0,35.0,mm
Persian_MS_13_binding_1,manuscript_6608,,Persian_MS_13,,"Probably in London, possibly for former owner William Platel. Resewn on 5 raised cords, laced into the pasteboard. Edges trimmed and fully gilt, with European decorative front-bead endbands sewn in light blue and bright green silk threads at head and tail. Covered full crimson Levant-grained morocco goatskin leather, tight-backed.","In good condition, with some slight abrasion to the spine, headcaps, with the upper corners bumped. Areas of the gilt edge appear blocked in the gutters.","Fully gilt, 'run-up' spine with thick-and-thin diagonals on the raised bands and headcaps, with triple line fillet with a diagonal dots with solid lines on either side framing the panels. Central oval radiating sunburt rosettes set above a two fronds and surmounted by laurels, with octafoil floral motifs on either side and fleurons in the corners. Titled THE GARDEN OF PRAISE on a maroon skiver leather label. Boards tooled with the same triple solid-dotted fillet around the perimetres, with a complex meander and small foliate decorative rolls, with quatrefoil motifs on the corners, all in gold. Board edges tooled bear the same thick-and thin diagonal roll as on the spine, with interior dentelles tooled with a decorative roll featuring a 'rose-thistle-shamrock' design, all in gold. Made endpapers of dark blue coated paper with European laid handmade papers measuring ~1mm between laid lines and 24 between chain lines. These evidently replaced the blue silk flyleaves described when Joseph Butterworth Bulmer Clarke, (ca. 1797–1854) sold his father's collection. 231 137 20",,,1800,1810,,,231.0,231.0,231.0,137.0,137.0,137.0,20.0,20.0,20.0,mm
